diet_tag,subregion,ingredient,ingredient_share,ingredient_type,region,animal_type,animal_subtype
diet_dairy_yearlings_replacement,a,corn_gluten_feed_20_5_cp,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,barley_2_rows_national_11_3_cp,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,wheat_soft_national_12_9_cp,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,wheat_middlings_25_starch,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,soybean_meal_44_cp,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,soybean_meal_47_cp,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,soybean_hulls_12_cp,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,rapeseed_meal_00_33_cp,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,sunflower_meal_32_cp,45.30,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,out_hulls,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,beet_pulp_4_ash,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,molasses_beet,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,cotton_seed_whole,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,brewers_grains,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,brewery_yeast,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,sodium_bicarbonate,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,calcium_carbonate,2.20,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,sodium_chloride_mine_92,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,potassium_carbonate,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,sodium_sulfate,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,Vitamin/mineral_supplement,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,mg_oxide_calcined_magnesite,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,urea,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,mixed_calcium_soaps,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,straw_cereals_wheat_and_barley,41.10,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,alfalfa_hay_first,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,ryegrass_hay_second,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,corn_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,ryegrass_silage_second,58.90,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,cereals_silage_wheat_barley_oat_triticale,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,wheat_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,barley_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,oat_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,triticale_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,sorghum_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,a,alfalfa_silage,0.00,forage,spain,cattle,dairy
diet_dairy_mature,a,corn_national,15.90,feed,spain,cattle,dairy
diet_dairy_mature,a,corn_gluten_feed_20_5_cp,0.00,feed,spain,cattle,dairy
diet_dairy_mature,a,barley_2_rows_national_11_3_cp,42.40,feed,spain,cattle,dairy
diet_dairy_mature,a,wheat_soft_national_12_9_cp,0.00,feed,spain,cattle,dairy
diet_dairy_mature,a,wheat_middlings_25_starch,0.00,feed,spain,cattle,dairy
diet_dairy_mature,a,soybean_meal_44_cp,17.70,feed,spain,cattle,dairy
diet_dairy_mature,a,soybean_meal_47_cp,0.00,feed,spain,cattle,dairy
diet_dairy_mature,a,soybean_hulls_12_cp,0.00,feed,spain,cattle,dairy
diet_dairy_mature,a,rapeseed_meal_00_33_cp,16.10,feed,spain,cattle,dairy
diet_dairy_mature,a,sunflower_meal_32_cp,0.00,feed,spain,cattle,dairy
diet_dairy_mature,a,out_hulls,0.00,feed,spain,cattle,dairy
diet_dairy_mature,a,beet_pulp_4_ash,0.00,feed,spain,cattle,dairy
diet_dairy_mature,a,molasses_beet,0.00,feed,spain,cattle,dairy
diet_dairy_mature,a,cotton_seed_whole,0.00,feed,spain,cattle,dairy
diet_dairy_mature,a,brewers_grains,0.00,feed,spain,cattle,dairy
diet_dairy_mature,a,brewery_yeast,0.00,feed,spain,cattle,dairy
diet_dairy_mature,a,sodium_bicarbonate,2.10,feed,spain,cattle,dairy
diet_dairy_mature,a,calcium_carbonate,2.10,feed,spain,cattle,dairy
diet_dairy_mature,a,sodium_chloride_mine_92,0.50,feed,spain,cattle,dairy
diet_dairy_mature,a,potassium_carbonate,0.00,feed,spain,cattle,dairy
diet_dairy_mature,a,sodium_sulfate,0.00,feed,spain,cattle,dairy
diet_dairy_mature,a,Vitamin/mineral_supplement,1.50,feed,spain,cattle,dairy
diet_dairy_mature,a,mg_oxide_calcined_magnesite,0.00,feed,spain,cattle,dairy
diet_dairy_mature,a,urea,1.10,feed,spain,cattle,dairy
diet_dairy_mature,a,mixed_calcium_soaps,0.60,feed,spain,cattle,dairy
diet_dairy_mature,a,straw_cereals_wheat_and_barley,0.00,forage,spain,cattle,dairy
diet_dairy_mature,a,alfalfa_hay_first,0.00,forage,spain,cattle,dairy
diet_dairy_mature,a,ryegrass_hay_second,0.00,forage,spain,cattle,dairy
diet_dairy_mature,a,corn_silage_25_30,60.00,forage,spain,cattle,dairy
diet_dairy_mature,a,ryegrass_silage_second,40.00,forage,spain,cattle,dairy
diet_dairy_mature,a,cereals_silage_wheat_barley_oat_triticale,0.00,forage,spain,cattle,dairy
diet_dairy_mature,a,wheat_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_mature,a,barley_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_mature,a,oat_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_mature,a,triticale_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_mature,a,sorghum_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_mature,a,alfalfa_silage,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,b,corn_national,60.85,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,corn_gluten_feed_20_5_cp,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,barley_2_rows_national_11_3_cp,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,wheat_soft_national_12_9_cp,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,wheat_middlings_25_starch,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,soybean_meal_44_cp,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,soybean_meal_47_cp,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,soybean_hulls_12_cp,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,rapeseed_meal_00_33_cp,32.50,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,sunflower_meal_32_cp,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,out_hulls,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,beet_pulp_4_ash,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,molasses_beet,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,cotton_seed_whole,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,brewers_grains,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,brewery_yeast,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,sodium_bicarbonate,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,calcium_carbonate,4.46,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,sodium_chloride_mine_92,0.84,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,potassium_carbonate,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,sodium_sulfate,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,Vitamin/mineral_supplement,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,mg_oxide_calcined_magnesite,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,urea,1.36,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,mixed_calcium_soaps,0.00,feed,spain,cattle,dairy
diet_dairy_calves_replacement,b,straw_cereals_wheat_and_barley,5.90,forage,spain,cattle,dairy
diet_dairy_calves_replacement,b,alfalfa_hay_first,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,b,ryegrass_hay_second,82.50,forage,spain,cattle,dairy
diet_dairy_calves_replacement,b,corn_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,b,ryegrass_silage_second,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,b,cereals_silage_wheat_barley_oat_triticale,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,b,wheat_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,b,barley_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,b,oat_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,b,triticale_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,b,sorghum_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_calves_replacement,b,alfalfa_silage,11.60,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,corn_national,66.94,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,corn_gluten_feed_20_5_cp,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,barley_2_rows_national_11_3_cp,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,wheat_soft_national_12_9_cp,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,wheat_middlings_25_starch,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,soybean_meal_44_cp,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,soybean_meal_47_cp,24.12,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,soybean_hulls_12_cp,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,rapeseed_meal_00_33_cp,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,sunflower_meal_32_cp,45.30,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,out_hulls,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,beet_pulp_4_ash,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,molasses_beet,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,cotton_seed_whole,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,brewers_grains,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,brewery_yeast,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,sodium_bicarbonate,2.74,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,calcium_carbonate,3.36,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,sodium_chloride_mine_92,1.26,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,potassium_carbonate,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,sodium_sulfate,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,Vitamin/mineral_supplement,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,mg_oxide_calcined_magnesite,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,urea,1.59,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,mixed_calcium_soaps,0.00,feed,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,straw_cereals_wheat_and_barley,9.40,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,alfalfa_hay_first,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,ryegrass_hay_second,79.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,corn_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,ryegrass_silage_second,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,cereals_silage_wheat_barley_oat_triticale,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,wheat_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,barley_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,oat_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,triticale_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,sorghum_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,alfalfa_silage,11.60,forage,spain,cattle,dairy
diet_dairy_mature,b,corn_national,44.85,feed,spain,cattle,dairy
diet_dairy_mature,b,corn_gluten_feed_20_5_cp,0.00,feed,spain,cattle,dairy
diet_dairy_mature,b,barley_2_rows_national_11_3_cp,0.00,feed,spain,cattle,dairy
diet_dairy_mature,b,wheat_soft_national_12_9_cp,0.00,feed,spain,cattle,dairy
diet_dairy_mature,b,wheat_middlings_25_starch,0.00,feed,spain,cattle,dairy
diet_dairy_mature,b,soybean_meal_44_cp,17.12,feed,spain,cattle,dairy
diet_dairy_mature,b,soybean_meal_47_cp,0.00,feed,spain,cattle,dairy
diet_dairy_mature,b,soybean_hulls_12_cp,0.00,feed,spain,cattle,dairy
diet_dairy_mature,b,rapeseed_meal_00_33_cp,28.71,feed,spain,cattle,dairy
diet_dairy_mature,b,sunflower_meal_32_cp,0.00,feed,spain,cattle,dairy
diet_dairy_mature,b,out_hulls,0.00,feed,spain,cattle,dairy
diet_dairy_mature,b,beet_pulp_4_ash,0.00,feed,spain,cattle,dairy
diet_dairy_mature,b,molasses_beet,0.00,feed,spain,cattle,dairy
diet_dairy_mature,b,cotton_seed_whole,0.00,feed,spain,cattle,dairy
diet_dairy_mature,b,brewers_grains,0.00,feed,spain,cattle,dairy
diet_dairy_mature,b,brewery_yeast,0.00,feed,spain,cattle,dairy
diet_dairy_mature,b,sodium_bicarbonate,2.26,feed,spain,cattle,dairy
diet_dairy_mature,b,calcium_carbonate,2.11,feed,spain,cattle,dairy
diet_dairy_mature,b,sodium_chloride_mine_92,0.42,feed,spain,cattle,dairy
diet_dairy_mature,b,potassium_carbonate,0.94,feed,spain,cattle,dairy
diet_dairy_mature,b,sodium_sulfate,0.00,feed,spain,cattle,dairy
diet_dairy_mature,b,Vitamin/mineral_supplement,1.12,feed,spain,cattle,dairy
diet_dairy_mature,b,mg_oxide_calcined_magnesite,0.34,feed,spain,cattle,dairy
diet_dairy_mature,b,urea,1.01,feed,spain,cattle,dairy
diet_dairy_mature,b,mixed_calcium_soaps,1.13,feed,spain,cattle,dairy
diet_dairy_mature,b,straw_cereals_wheat_and_barley,0.00,forage,spain,cattle,dairy
diet_dairy_mature,b,alfalfa_hay_first,0.00,forage,spain,cattle,dairy
diet_dairy_mature,b,ryegrass_hay_second,0.00,forage,spain,cattle,dairy
diet_dairy_mature,b,corn_silage_25_30,71.40,forage,spain,cattle,dairy
diet_dairy_mature,b,ryegrass_silage_second,0.00,forage,spain,cattle,dairy
diet_dairy_mature,b,cereals_silage_wheat_barley_oat_triticale,28.60,forage,spain,cattle,dairy
diet_dairy_mature,b,wheat_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_mature,b,barley_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_mature,b,oat_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_mature,b,triticale_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_mature,b,sorghum_silage_25_30,0.00,forage,spain,cattle,dairy
diet_dairy_mature,b,alfalfa_silage,0.00,forage,spain,cattle,dairy
diet_beef_calves_slaughter,dehesa,barley_2_rows_national_11_3_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,soybean_meal_44_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,soybean_meal_47_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,wheat_soft_national_12_9_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,corn_national,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,wheypowder_acid,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,corn_gluten_feed_19_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,forage_meal_mix_12_5_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,sunflower_meal_28_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,sunflower_meal_expeller_34_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,soybean_hulls_12_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,corn_heat_processed_national,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,molasses_sugarcane,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,wheat_bran_20_starch,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,carob_bean,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,beet_pulp_4_ash,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,palm_oil,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,butterfat,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,mixed_calcium_soaps,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,calcium_carbonate,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,field_pea_heat_processed,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,dicalcium_phosphate_dihydrated,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,sodium_chloride_mine_92,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,sodium_bicarbonate,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,brewery_yeast,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,sodium_butyrate,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,mycotoxin_adsorbent,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,ammonium_chloride,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,aroma,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,Vitamin/mineral_supplement,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,ryegrass_fresh_third,0.00,forage,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,vetch_hay_third,0.00,forage,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,ryegrass_fresh_first,0.00,forage,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,grass_silage_third,0.00,forage,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,ryegrass_hay_fourth,0.00,forage,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,ryegrass_fresh_second,0.00,forage,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,cow_breast_milk,100.00,milk,spain,cattle,beef
diet_beef_calves_slaughter,montaña,barley_2_rows_national_11_3_cp,7.64,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,soybean_meal_44_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,soybean_meal_47_cp,11.85,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,wheat_soft_national_12_9_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,corn_national,34.96,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,wheypowder_acid,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,corn_gluten_feed_19_cp,13.06,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,forage_meal_mix_12_5_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,sunflower_meal_28_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,sunflower_meal_expeller_34_cp,3.06,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,soybean_hulls_12_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,corn_heat_processed_national,6.85,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,molasses_sugarcane,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,wheat_bran_20_starch,11.71,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,carob_bean,2.89,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,beet_pulp_4_ash,1.53,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,palm_oil,2.92,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,butterfat,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,mixed_calcium_soaps,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,calcium_carbonate,2.02,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,field_pea_heat_processed,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,dicalcium_phosphate_dihydrated,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,sodium_chloride_mine_92,0.29,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,sodium_bicarbonate,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,brewery_yeast,0.08,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,sodium_butyrate,0.17,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,mycotoxin_adsorbent,0.11,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,ammonium_chloride,0.10,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,aroma,0.07,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,Vitamin/mineral_supplement,0.67,feed,spain,cattle,beef
diet_beef_calves_slaughter,montaña,ryegrass_fresh_third,0.00,forage,spain,cattle,beef
diet_beef_calves_slaughter,montaña,vetch_hay_third,0.00,forage,spain,cattle,beef
diet_beef_calves_slaughter,montaña,ryegrass_fresh_first,0.00,forage,spain,cattle,beef
diet_beef_calves_slaughter,montaña,grass_silage_third,0.00,forage,spain,cattle,beef
diet_beef_calves_slaughter,montaña,ryegrass_hay_fourth,0.00,forage,spain,cattle,beef
diet_beef_calves_slaughter,montaña,ryegrass_fresh_second,0.00,forage,spain,cattle,beef
diet_beef_calves_slaughter,montaña,cow_breast_milk,100.00,milk,spain,cattle,beef
diet_beef_calves_slaughter,españa húmeda,barley_2_rows_national_11_3_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,españa húmeda,soybean_meal_44_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,españa húmeda,soybean_meal_47_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,españa húmeda,wheat_soft_national_12_9_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,españa húmeda,corn_national,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,españa húmeda,wheypowder_acid,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,españa húmeda,corn_gluten_feed_19_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,españa húmeda,forage_meal_mix_12_5_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,españa húmeda,sunflower_meal_28_cp,0.00,feed,spain,cattle,beef
diet_beef_calves_slaughter,españa húmeda,sunflower_meal_expeller_34_cp,0.00,feed,spain,cattle,beef
