Area,ingredient,Year,Value
Bahamas,"Turnips, for forage",2020,6551.875
Bahrain,Alfalfa for forage and silage,2020,8195.227272727272
Bahrain,"Beet, for forage",2020,12585
Bahrain,"Cabbage, for forage",2020,7986.25
Bahrain,"Clover, for forage",2020,9276.5
Bahrain,"Hay for forage, from grasses",2020,1252.5
Bahrain,Maize for forage and silage,2020,10732
Bahrain,"Mixed grass and legumes, for forage",2020,4455
Bahrain,"Other forage crops, n.e.c.",2020,2591.25
Bahrain,"Other forage products, n.e.c.",2020,3145
Bahrain,"Other grasses, for forage",2020,4383.333333333333
Bahrain,"Other legumes, for forage",2020,2476.2500000000005
Bahrain,"Rye grass, for forage",2020,2787.5
Bahrain,"Sorghum, for forage",2020,4611.666666666667
Bahrain,"Swedes, for forage",2020,3750
Bahrain,"Turnips, for forage",2020,12750
Bangladesh,Alfalfa for forage and silage,2020,2212.5
Bangladesh,"Beet, for forage",2020,9916.73076923077
Bangladesh,"Cabbage, for forage",2020,7986.25
Bangladesh,"Clover, for forage",2020,6082.0999999999995
Bangladesh,"Hay for forage, from grasses",2020,1075.8333333333333
Bangladesh,Maize for forage and silage,2020,9080.849056603773
Bangladesh,"Mixed grass and legumes, for forage",2020,3256.666666666667
Bangladesh,"Other forage crops, n.e.c.",2020,5560
Bangladesh,"Other forage products, n.e.c.",2020,3735
Bangladesh,"Other grasses, for forage",2020,3898.815789473684
Bangladesh,"Other legumes, for forage",2020,3793.5000000000005
Bangladesh,"Rye grass, for forage",2020,5695.357142857142
Bangladesh,"Sorghum, for forage",2020,7070.833333333334
Bangladesh,"Swedes, for forage",2020,3750
Bangladesh,"Turnips, for forage",2020,6551.875
Armenia,Alfalfa for forage and silage,2020,8195.227272727272
Armenia,"Beet, for forage",2020,12585
Armenia,"Cabbage, for forage",2020,7986.25
Armenia,"Clover, for forage",2020,9276.5
Armenia,"Hay for forage, from grasses",2020,1252.5
Armenia,Maize for forage and silage,2020,10732
Armenia,"Mixed grass and legumes, for forage",2020,4455
Armenia,"Other forage crops, n.e.c.",2020,2591.25
Armenia,"Other forage products, n.e.c.",2020,3145
Armenia,"Other grasses, for forage",2020,4383.333333333333
Armenia,"Other legumes, for forage",2020,2476.2500000000005
Armenia,"Rye grass, for forage",2020,2787.5
Armenia,"Sorghum, for forage",2020,4611.666666666667
Armenia,"Swedes, for forage",2020,3750
Armenia,"Turnips, for forage",2020,12750
Barbados,Alfalfa for forage and silage,2020,5918.851351351352
Barbados,"Beet, for forage",2020,9916.73076923077
Barbados,"Cabbage, for forage",2020,7986.25
Barbados,"Clover, for forage",2020,6082.0999999999995
Barbados,"Hay for forage, from grasses",2020,1075.8333333333333
Barbados,Maize for forage and silage,2020,9080.849056603773
Barbados,"Mixed grass and legumes, for forage",2020,3256.666666666667
Barbados,"Other forage crops, n.e.c.",2020,3519
Barbados,"Other forage products, n.e.c.",2020,4265.333333333333
Barbados,"Other grasses, for forage",2020,3898.815789473684
Barbados,"Other legumes, for forage",2020,3793.5000000000005
Barbados,"Rye grass, for forage",2020,5695.357142857142
Barbados,"Sorghum, for forage",2020,7070.833333333334
Barbados,"Swedes, for forage",2020,3750
Barbados,"Turnips, for forage",2020,6551.875
Belgium,Alfalfa for forage and silage,2020,2627.5
Belgium,"Beet, for forage",2020,13865
Belgium,"Cabbage, for forage",2020,10670
Belgium,"Clover, for forage",2020,1805
Belgium,"Hay for forage, from grasses",2020,1075.8333333333333
Belgium,Maize for forage and silage,2020,15662.500000000002
Belgium,"Mixed grass and legumes, for forage",2020,3256.666666666667
Belgium,"Other forage crops, n.e.c.",2020,3519
Belgium,"Other forage products, n.e.c.",2020,11291.25
Belgium,"Other grasses, for forage",2020,6487.5
Belgium,"Other legumes, for forage",2020,3793.5000000000005
Belgium,"Rye grass, for forage",2020,1680
Belgium,"Sorghum, for forage",2020,7070.833333333334
Belgium,"Swedes, for forage",2020,3750
Belgium,"Turnips, for forage",2020,6551.875
Bhutan,Alfalfa for forage and silage,2020,2212.5
Bhutan,"Beet, for forage",2020,9916.73076923077
Bhutan,"Cabbage, for forage",2020,7986.25
Bhutan,"Clover, for forage",2020,6082.0999999999995
Bhutan,"Hay for forage, from grasses",2020,1075.8333333333333
Bhutan,Maize for forage and silage,2020,9080.849056603773
Bhutan,"Mixed grass and legumes, for forage",2020,3256.666666666667
Bhutan,"Other forage crops, n.e.c.",2020,5560
Bhutan,"Other forage products, n.e.c.",2020,3735
Bhutan,"Other grasses, for forage",2020,3898.815789473684
Bhutan,"Other legumes, for forage",2020,3793.5000000000005
Bhutan,"Rye grass, for forage",2020,5695.357142857142
Bhutan,"Sorghum, for forage",2020,7070.833333333334
Bhutan,"Swedes, for forage",2020,3750
Bhutan,"Turnips, for forage",2020,6551.875
Bolivia (Plurinational State of),Alfalfa for forage and silage,2020,5490
Bolivia (Plurinational State of),"Beet, for forage",2020,9916.73076923077
Bolivia (Plurinational State of),"Cabbage, for forage",2020,7986.25
Bolivia (Plurinational State of),"Clover, for forage",2020,8560
Bolivia (Plurinational State of),"Hay for forage, from grasses",2020,1075.8333333333333
Bolivia (Plurinational State of),Maize for forage and silage,2020,12805
Bolivia (Plurinational State of),"Mixed grass and legumes, for forage",2020,3256.666666666667
Bolivia (Plurinational State of),"Other forage crops, n.e.c.",2020,3519
Bolivia (Plurinational State of),"Other forage products, n.e.c.",2020,5997.5
Bolivia (Plurinational State of),"Other grasses, for forage",2020,3960
Bolivia (Plurinational State of),"Other legumes, for forage",2020,3793.5000000000005
Bolivia (Plurinational State of),"Rye grass, for forage",2020,10087.5
Bolivia (Plurinational State of),"Sorghum, for forage",2020,11522.5
Bolivia (Plurinational State of),"Swedes, for forage",2020,3750
Bolivia (Plurinational State of),"Turnips, for forage",2020,6551.875
Bosnia and Herzegovina,Alfalfa for forage and silage,2020,3966.111111111111
Bosnia and Herzegovina,"Beet, for forage",2020,3359.375
Bosnia and Herzegovina,"Cabbage, for forage",2020,5302.5
Bosnia and Herzegovina,"Clover, for forage",2020,2976.785714285714
Bosnia and Herzegovina,"Hay for forage, from grasses",2020,1075.8333333333333
Bosnia and Herzegovina,Maize for forage and silage,2020,8548.863636363636
Bosnia and Herzegovina,"Mixed grass and legumes, for forage",2020,3256.666666666667
Bosnia and Herzegovina,"Other forage crops, n.e.c.",2020,1072.5
Bosnia and Herzegovina,"Other forage products, n.e.c.",2020,1191.25
Bosnia and Herzegovina,"Other grasses, for forage",2020,1914.1666666666665
Bosnia and Herzegovina,"Other legumes, for forage",2020,2776.25
Bosnia and Herzegovina,"Rye grass, for forage",2020,7417.5
Bosnia and Herzegovina,"Sorghum, for forage",2020,5620
Bosnia and Herzegovina,"Swedes, for forage",2020,3750
Bosnia and Herzegovina,"Turnips, for forage",2020,4467.5
Botswana,Alfalfa for forage and silage,2020,5918.851351351352
Botswana,"Beet, for forage",2020,9916.73076923077
Botswana,"Cabbage, for forage",2020,7986.25
Botswana,"Clover, for forage",2020,6082.0999999999995
Botswana,"Hay for forage, from grasses",2020,1075.8333333333333
Botswana,Maize for forage and silage,2020,9080.849056603773
Botswana,"Mixed grass and legumes, for forage",2020,3256.666666666667
Botswana,"Other forage crops, n.e.c.",2020,3519
Botswana,"Other forage products, n.e.c.",2020,4265.333333333333
Botswana,"Other grasses, for forage",2020,3898.815789473684
Botswana,"Other legumes, for forage",2020,3793.5000000000005
Botswana,"Rye grass, for forage",2020,5695.357142857142
Botswana,"Sorghum, for forage",2020,7070.833333333334
Botswana,"Swedes, for forage",2020,3750
Botswana,"Turnips, for forage",2020,6551.875
Brazil,Alfalfa for forage and silage,2020,5490
Brazil,"Beet, for forage",2020,9916.73076923077
Brazil,"Cabbage, for forage",2020,7986.25
Brazil,"Clover, for forage",2020,8560
Brazil,"Hay for forage, from grasses",2020,1075.8333333333333
Brazil,Maize for forage and silage,2020,12805
Brazil,"Mixed grass and legumes, for forage",2020,3256.666666666667
Brazil,"Other forage crops, n.e.c.",2020,3519
Brazil,"Other forage products, n.e.c.",2020,5997.5
Brazil,"Other grasses, for forage",2020,3960
Brazil,"Other legumes, for forage",2020,3793.5000000000005
Brazil,"Rye grass, for forage",2020,10087.5
Brazil,"Sorghum, for forage",2020,11522.5
Brazil,"Swedes, for forage",2020,3750
Brazil,"Turnips, for forage",2020,6551.875
Belize,Alfalfa for forage and silage,2020,22195
Belize,"Beet, for forage",2020,7727.5
Belize,"Cabbage, for forage",2020,7986.25
Belize,"Clover, for forage",2020,9065
Belize,"Hay for forage, from grasses",2020,1075.8333333333333
Belize,Maize for forage and silage,2020,7152.5
Belize,"Mixed grass and legumes, for forage",2020,3256.666666666667
Belize,"Other forage crops, n.e.c.",2020,3519
Belize,"Other forage products, n.e.c.",2020,4265.333333333333
Belize,"Other grasses, for forage",2020,3537.5
Belize,"Other legumes, for forage",2020,3793.5000000000005
Belize,"Rye grass, for forage",2020,9180
Belize,"Sorghum, for forage",2020,5942.5
Belize,"Swedes, for forage",2020,3750
Belize,"Turnips, for forage",2020,3275
Solomon Islands,Alfalfa for forage and silage,2020,5918.851351351352
Solomon Islands,"Beet, for forage",2020,9916.73076923077
Solomon Islands,"Cabbage, for forage",2020,7986.25
Solomon Islands,"Clover, for forage",2020,6082.0999999999995
Solomon Islands,"Hay for forage, from grasses",2020,1075.8333333333333
Solomon Islands,Maize for forage and silage,2020,9080.849056603773
Solomon Islands,"Mixed grass and legumes, for forage",2020,3256.666666666667
Solomon Islands,"Other forage crops, n.e.c.",2020,3519
Solomon Islands,"Other forage products, n.e.c.",2020,4265.333333333333
Solomon Islands,"Other grasses, for forage",2020,3898.815789473684
Solomon Islands,"Other legumes, for forage",2020,3793.5000000000005
Solomon Islands,"Rye grass, for forage",2020,5695.357142857142
Solomon Islands,"Sorghum, for forage",2020,7070.833333333334
Solomon Islands,"Swedes, for forage",2020,3750
Solomon Islands,"Turnips, for forage",2020,6551.875
Brunei Darussalam,Alfalfa for forage and silage,2020,5918.851351351352
Brunei Darussalam,"Beet, for forage",2020,9916.73076923077
Brunei Darussalam,"Cabbage, for forage",2020,7986.25
Brunei Darussalam,"Clover, for forage",2020,6082.0999999999995
Brunei Darussalam,"Hay for forage, from grasses",2020,1075.8333333333333
Brunei Darussalam,Maize for forage and silage,2020,9080.849056603773
Brunei Darussalam,"Mixed grass and legumes, for forage",2020,3256.666666666667
Brunei Darussalam,"Other forage crops, n.e.c.",2020,3519
Brunei Darussalam,"Other forage products, n.e.c.",2020,4265.333333333333
Brunei Darussalam,"Other grasses, for forage",2020,3898.815789473684
Brunei Darussalam,"Other legumes, for forage",2020,3793.5000000000005
Brunei Darussalam,"Rye grass, for forage",2020,5695.357142857142
Brunei Darussalam,"Sorghum, for forage",2020,7070.833333333334
Brunei Darussalam,"Swedes, for forage",2020,3750
Brunei Darussalam,"Turnips, for forage",2020,6551.875
Bulgaria,Alfalfa for forage and silage,2020,3552.0833333333335
Bulgaria,"Beet, for forage",2020,9077.5
Bulgaria,"Cabbage, for forage",2020,7986.25
Bulgaria,"Clover, for forage",2020,4991
Bulgaria,"Hay for forage, from grasses",2020,462.5
Bulgaria,Maize for forage and silage,2020,6533.5
Bulgaria,"Mixed grass and legumes, for forage",2020,3256.666666666667
Bulgaria,"Other forage crops, n.e.c.",2020,5780
Bulgaria,"Other forage products, n.e.c.",2020,4118.333333333333
Bulgaria,"Other grasses, for forage",2020,2408.75
Bulgaria,"Other legumes, for forage",2020,3793.5000000000005
Bulgaria,"Rye grass, for forage",2020,3227.5
Bulgaria,"Sorghum, for forage",2020,6542.5
Bulgaria,"Swedes, for forage",2020,3750
Bulgaria,"Turnips, for forage",2020,5715
Myanmar,Alfalfa for forage and silage,2020,5918.851351351352
Myanmar,"Beet, for forage",2020,9916.73076923077
Myanmar,"Cabbage, for forage",2020,7986.25
Myanmar,"Clover, for forage",2020,6082.0999999999995
Myanmar,"Hay for forage, from grasses",2020,1075.8333333333333
Myanmar,Maize for forage and silage,2020,9080.849056603773
Myanmar,"Mixed grass and legumes, for forage",2020,3256.666666666667
Myanmar,"Other forage crops, n.e.c.",2020,3519
Myanmar,"Other forage products, n.e.c.",2020,4265.333333333333
Myanmar,"Other grasses, for forage",2020,3898.815789473684
Myanmar,"Other legumes, for forage",2020,3793.5000000000005
Myanmar,"Rye grass, for forage",2020,5695.357142857142
Myanmar,"Sorghum, for forage",2020,7070.833333333334
Myanmar,"Swedes, for forage",2020,3750
Myanmar,"Turnips, for forage",2020,6551.875
Burundi,Alfalfa for forage and silage,2020,5918.851351351352
Burundi,"Beet, for forage",2020,9916.73076923077
Burundi,"Cabbage, for forage",2020,7986.25
Burundi,"Clover, for forage",2020,6082.0999999999995
Burundi,"Hay for forage, from grasses",2020,1075.8333333333333
Burundi,Maize for forage and silage,2020,1587.5
Burundi,"Mixed grass and legumes, for forage",2020,3256.666666666667
Burundi,"Other forage crops, n.e.c.",2020,3519
Burundi,"Other forage products, n.e.c.",2020,4265.333333333333
Burundi,"Other grasses, for forage",2020,3898.815789473684
Burundi,"Other legumes, for forage",2020,3793.5000000000005
Burundi,"Rye grass, for forage",2020,5695.357142857142
Burundi,"Sorghum, for forage",2020,7070.833333333334
Burundi,"Swedes, for forage",2020,3750
Burundi,"Turnips, for forage",2020,6551.875
Belarus,Alfalfa for forage and silage,2020,3552.0833333333335
Belarus,"Beet, for forage",2020,9077.5
Belarus,"Cabbage, for forage",2020,7986.25
Belarus,"Clover, for forage",2020,4991
Belarus,"Hay for forage, from grasses",2020,462.5
Belarus,Maize for forage and silage,2020,6533.5
Belarus,"Mixed grass and legumes, for forage",2020,3256.666666666667
Belarus,"Other forage crops, n.e.c.",2020,5780
Belarus,"Other forage products, n.e.c.",2020,4118.333333333333
Belarus,"Other grasses, for forage",2020,2408.75
Belarus,"Other legumes, for forage",2020,3793.5000000000005
Belarus,"Rye grass, for forage",2020,3227.5
Belarus,"Sorghum, for forage",2020,6542.5
Belarus,"Swedes, for forage",2020,3750
Belarus,"Turnips, for forage",2020,5715
Cambodia,Alfalfa for forage and silage,2020,5918.851351351352
Cambodia,"Beet, for forage",2020,9916.73076923077
Cambodia,"Cabbage, for forage",2020,7986.25
Cambodia,"Clover, for forage",2020,6082.0999999999995
Cambodia,"Hay for forage, from grasses",2020,1075.8333333333333
Cambodia,Maize for forage and silage,2020,9080.849056603773
Cambodia,"Mixed grass and legumes, for forage",2020,3256.666666666667
Cambodia,"Other forage crops, n.e.c.",2020,3519
Cambodia,"Other forage products, n.e.c.",2020,4265.333333333333
Cambodia,"Other grasses, for forage",2020,3898.815789473684
Cambodia,"Other legumes, for forage",2020,3793.5000000000005
Cambodia,"Rye grass, for forage",2020,5695.357142857142
Cambodia,"Sorghum, for forage",2020,7070.833333333334
Cambodia,"Swedes, for forage",2020,3750
Cambodia,"Turnips, for forage",2020,6551.875
Cameroon,Alfalfa for forage and silage,2020,5918.851351351352
Cameroon,"Beet, for forage",2020,9916.73076923077
Cameroon,"Cabbage, for forage",2020,7986.25
Cameroon,"Clover, for forage",2020,6082.0999999999995
Cameroon,"Hay for forage, from grasses",2020,1075.8333333333333
Cameroon,Maize for forage and silage,2020,9080.849056603773
Cameroon,"Mixed grass and legumes, for forage",2020,3256.666666666667
Cameroon,"Other forage crops, n.e.c.",2020,3519
Cameroon,"Other forage products, n.e.c.",2020,4265.333333333333
Cameroon,"Other grasses, for forage",2020,3898.815789473684
Cameroon,"Other legumes, for forage",2020,3793.5000000000005
Cameroon,"Rye grass, for forage",2020,5695.357142857142
Cameroon,"Sorghum, for forage",2020,7070.833333333334
Cameroon,"Swedes, for forage",2020,3750
Cameroon,"Turnips, for forage",2020,6551.875
Canada,Alfalfa for forage and silage,2020,1862.5
Canada,"Beet, for forage",2020,9916.73076923077
Canada,"Cabbage, for forage",2020,7986.25
Canada,"Clover, for forage",2020,6082.0999999999995
Canada,"Hay for forage, from grasses",2020,1075.8333333333333
Canada,Maize for forage and silage,2020,10420
Canada,"Mixed grass and legumes, for forage",2020,3256.666666666667
Canada,"Other forage crops, n.e.c.",2020,3519
Canada,"Other forage products, n.e.c.",2020,4265.333333333333
Canada,"Other grasses, for forage",2020,2212.5
Canada,"Other legumes, for forage",2020,3793.5000000000005
Canada,"Rye grass, for forage",2020,5695.357142857142
Canada,"Sorghum, for forage",2020,6957.5
Canada,"Swedes, for forage",2020,3750
Canada,"Turnips, for forage",2020,6551.875
Cabo Verde,Alfalfa for forage and silage,2020,5918.851351351352
Cabo Verde,"Beet, for forage",2020,9916.73076923077
Cabo Verde,"Cabbage, for forage",2020,7986.25
Cabo Verde,"Clover, for forage",2020,6082.0999999999995
Cabo Verde,"Hay for forage, from grasses",2020,1075.8333333333333
Cabo Verde,Maize for forage and silage,2020,9080.849056603773
Cabo Verde,"Mixed grass and legumes, for forage",2020,3256.666666666667
Cabo Verde,"Other forage crops, n.e.c.",2020,3519
Cabo Verde,"Other forage products, n.e.c.",2020,4265.333333333333
Cabo Verde,"Other grasses, for forage",2020,3898.815789473684
Cabo Verde,"Other legumes, for forage",2020,3793.5000000000005
Cabo Verde,"Rye grass, for forage",2020,5695.357142857142
Cabo Verde,"Sorghum, for forage",2020,7070.833333333334
Cabo Verde,"Swedes, for forage",2020,3750
Cabo Verde,"Turnips, for forage",2020,6551.875
Central African Republic,Alfalfa for forage and silage,2020,5918.851351351352
Central African Republic,"Beet, for forage",2020,9916.73076923077
Central African Republic,"Cabbage, for forage",2020,7986.25
Central African Republic,"Clover, for forage",2020,6082.0999999999995
Central African Republic,"Hay for forage, from grasses",2020,1075.8333333333333
Central African Republic,Maize for forage and silage,2020,9080.849056603773
Central African Republic,"Mixed grass and legumes, for forage",2020,3256.666666666667
Central African Republic,"Other forage crops, n.e.c.",2020,3519
Central African Republic,"Other forage products, n.e.c.",2020,4265.333333333333
Central African Republic,"Other grasses, for forage",2020,3898.815789473684
Central African Republic,"Other legumes, for forage",2020,3793.5000000000005
Central African Republic,"Rye grass, for forage",2020,5695.357142857142
Central African Republic,"Sorghum, for forage",2020,7070.833333333334
Central African Republic,"Swedes, for forage",2020,3750
Central African Republic,"Turnips, for forage",2020,6551.875
Sri Lanka,Alfalfa for forage and silage,2020,2212.5
Sri Lanka,"Beet, for forage",2020,9916.73076923077
Sri Lanka,"Cabbage, for forage",2020,7986.25
Sri Lanka,"Clover, for forage",2020,6082.0999999999995
Sri Lanka,"Hay for forage, from grasses",2020,1075.8333333333333
Sri Lanka,Maize for forage and silage,2020,9080.849056603773
Sri Lanka,"Mixed grass and legumes, for forage",2020,3256.666666666667
Sri Lanka,"Other forage crops, n.e.c.",2020,5560
Sri Lanka,"Other forage products, n.e.c.",2020,3735
Sri Lanka,"Other grasses, for forage",2020,3898.815789473684
Sri Lanka,"Other legumes, for forage",2020,3793.5000000000005
Sri Lanka,"Rye grass, for forage",2020,5695.357142857142
Sri Lanka,"Sorghum, for forage",2020,7070.833333333334
Sri Lanka,"Swedes, for forage",2020,3750
Sri Lanka,"Turnips, for forage",2020,6551.875
Chad,Alfalfa for forage and silage,2020,5918.851351351352
Chad,"Beet, for forage",2020,9916.73076923077
Chad,"Cabbage, for forage",2020,7986.25
Chad,"Clover, for forage",2020,6082.0999999999995
Chad,"Hay for forage, from grasses",2020,1075.8333333333333
Chad,Maize for forage and silage,2020,9080.849056603773
Chad,"Mixed grass and legumes, for forage",2020,3256.666666666667
Chad,"Other forage crops, n.e.c.",2020,3519
Chad,"Other forage products, n.e.c.",2020,4265.333333333333
Chad,"Other grasses, for forage",2020,3898.815789473684
Chad,"Other legumes, for forage",2020,3793.5000000000005
Chad,"Rye grass, for forage",2020,5695.357142857142
Chad,"Sorghum, for forage",2020,7070.833333333334
Chad,"Swedes, for forage",2020,3750
Chad,"Turnips, for forage",2020,6551.875
Chile,Alfalfa for forage and silage,2020,5490
Chile,"Beet, for forage",2020,9916.73076923077
